idx,question,r0_label,b_gated_v2_2_label,memory_index,memory_text,final_reject_reason,near_miss_type,gate_trace_summary,why_potentially_repairable,manual_audit_label_empty,manual_notes_empty
0,Did Martin Mark establish a global health initiative with his partner in 2025?,correct,correct,8,User holds a Bachelor’s degree with a major in Public Health.,not_refuting,related_but_not_refuting,"{""premise_extracted"": {""entity"": ""Martin Mark"", ""object_or_activity"": ""health"", ""slot"": ""health_status"", ""claimed_value"": ""health"", ""polarity"": ""positive"", ""temporal_condition"": null, ""event_condition"": null, ""scope"": null, ""premise_type"": ""health_status"", ""raw_question"": ""Did Martin Mark establish a global health initiative with his partner in 2025?"", ""anchor_tokens"": [""martin"", ""mark"", ""health""], ""slot_tokens"": [""health"", ""status"", ""statu""], ""value_tokens"": [""health""], ""temporal_tokens"": []}, ""premise_anchor_match"": true, ""slot_value_alignment"": true, ""temporal_compatible"": true, ""explicit_refutation"": false, ""raw"": {""premise_anchor"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""same health/status domain""}, ""slot_value_alignment"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""same health/status slot""}, ""temporal_compatibility"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""health/status proposition has compatible trajectory semantics""}, ""explicit_refutation"": {""passed"": false, ""reason"": ""not_refuting"", ""detail"": ""health evidence does not contradict the premise""}}}","R0 was already correct; use as harm-risk review, not repair opportunity.",,
0,Did Martin Mark establish a global health initiative with his partner in 2025?,correct,correct,12,"User likes wellness retreats for relaxation and activities that promote physical and mental health, aligning with his lifestyle; he avoids crowded tourist spots because they can be overwhelming and stressful; he enjoys nature hikes to connect with the environment and experience tranquility as an escape from his busy work life; he likes cultural tours for insights into different lifestyles and traditions, and spa vacations for unwinding and rejuvenation to maintain life balance.",not_refuting,related_but_not_refuting,"{""premise_extracted"": {""entity"": ""Martin Mark"", ""object_or_activity"": ""health"", ""slot"": ""health_status"", ""claimed_value"": ""health"", ""polarity"": ""positive"", ""temporal_condition"": null, ""event_condition"": null, ""scope"": null, ""premise_type"": ""health_status"", ""raw_question"": ""Did Martin Mark establish a global health initiative with his partner in 2025?"", ""anchor_tokens"": [""martin"", ""mark"", ""health""], ""slot_tokens"": [""health"", ""status"", ""statu""], ""value_tokens"": [""health""], ""temporal_tokens"": []}, ""premise_anchor_match"": true, ""slot_value_alignment"": true, ""temporal_compatible"": true, ""explicit_refutation"": false, ""raw"": {""premise_anchor"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""same health/status domain""}, ""slot_value_alignment"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""same health/status slot""}, ""temporal_compatibility"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""health/status proposition has compatible trajectory semantics""}, ""explicit_refutation"": {""passed"": false, ""reason"": ""not_refuting"", ""detail"": ""health evidence does not contradict the premise""}}}","R0 was already correct; use as harm-risk review, not repair opportunity.",,
0,Did Martin Mark establish a global health initiative with his partner in 2025?,correct,correct,13,"User dislikes violent video games because they promote aggression, which opposes his values of peace and well‑being; he likes puzzle games as they challenge his mind and improve problem‑solving skills crucial to his profession; he also avoids gambling games due to their potential for addiction and financial stress, which are detrimental to mental health.",not_refuting,related_but_not_refuting,"{""premise_extracted"": {""entity"": ""Martin Mark"", ""object_or_activity"": ""health"", ""slot"": ""health_status"", ""claimed_value"": ""health"", ""polarity"": ""positive"", ""temporal_condition"": null, ""event_condition"": null, ""scope"": null, ""premise_type"": ""health_status"", ""raw_question"": ""Did Martin Mark establish a global health initiative with his partner in 2025?"", ""anchor_tokens"": [""martin"", ""mark"", ""health""], ""slot_tokens"": [""health"", ""status"", ""statu""], ""value_tokens"": [""health""], ""temporal_tokens"": []}, ""premise_anchor_match"": true, ""slot_value_alignment"": true, ""temporal_compatible"": true, ""explicit_refutation"": false, ""raw"": {""premise_anchor"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""same health/status domain""}, ""slot_value_alignment"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""same health/status slot""}, ""temporal_compatibility"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""health/status proposition has compatible trajectory semantics""}, ""explicit_refutation"": {""passed"": false, ""reason"": ""not_refuting"", ""detail"": ""health evidence does not contradict the premise""}}}","R0 was already correct; use as harm-risk review, not repair opportunity.",,
1,"Did Martin Mark work as a nurse at Huaxin Consulting on Sep 06, 2025?",correct,correct,2,"User's name is Martin Mark, male, born on August 2, 1996, currently 29 years old, and resides in Columbus.",absence_not_refutation,absence_not_refutation,"{""premise_extracted"": {""entity"": ""Martin Mark"", ""object_or_activity"": ""consult sep 2025"", ""slot"": ""generic_yesno"", ""claimed_value"": ""consult sep 2025"", ""polarity"": ""positive"", ""temporal_condition"": ""on Sep 06; Sep 06, 2025"", ""event_condition"": null, ""scope"": null, ""premise_type"": ""generic_yesno"", ""raw_question"": ""Did Martin Mark work as a nurse at Huaxin Consulting on Sep 06, 2025?"", ""anchor_tokens"": [""martin"", ""mark"", ""consult"", ""sep"", ""2025""], ""slot_tokens"": [""generic"", ""yesno"", ""martin"", ""mark"", ""work"", ""nurse"", ""huaxin"", ""consulting"", ""consult"", ""sep"", ""2025""], ""value_tokens"": [""consult"", ""sep"", ""2025""], ""temporal_tokens"": [""sep"", ""2025""]}, ""premise_anchor_match"": true, ""slot_value_alignment"": true, ""temporal_compatible"": true, ""explicit_refutation"": false, ""raw"": {""premise_anchor"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""shared anchor tokens: mark, martin""}, ""slot_value_alignment"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""same slot""}, ""temporal_compatibility"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""temporal condition is compatible""}, ""explicit_refutation"": {""passed"": false, ""reason"": ""absence_not_refutation"", ""detail"": ""memory does not mention the premise value""}}}","R0 was already correct; use as harm-risk review, not repair opportunity.",,
1,"Did Martin Mark work as a nurse at Huaxin Consulting on Sep 06, 2025?",correct,correct,3,"User’s parents are both alive, have no spouse or partner, and have no children; his father, born August 2, 1963, is a retired doctor who inspired Martin’s interest in health, while his mother, also born August 2, 1963, is a nurse passionate about community health, and the family’s medical background deeply influences Martin’s passion for promoting well‑being.",absence_not_refutation,absence_not_refutation,"{""premise_extracted"": {""entity"": ""Martin Mark"", ""object_or_activity"": ""consult sep 2025"", ""slot"": ""generic_yesno"", ""claimed_value"": ""consult sep 2025"", ""polarity"": ""positive"", ""temporal_condition"": ""on Sep 06; Sep 06, 2025"", ""event_condition"": null, ""scope"": null, ""premise_type"": ""generic_yesno"", ""raw_question"": ""Did Martin Mark work as a nurse at Huaxin Consulting on Sep 06, 2025?"", ""anchor_tokens"": [""martin"", ""mark"", ""consult"", ""sep"", ""2025""], ""slot_tokens"": [""generic"", ""yesno"", ""martin"", ""mark"", ""work"", ""nurse"", ""huaxin"", ""consulting"", ""consult"", ""sep"", ""2025""], ""value_tokens"": [""consult"", ""sep"", ""2025""], ""temporal_tokens"": [""sep"", ""2025""]}, ""premise_anchor_match"": true, ""slot_value_alignment"": true, ""temporal_compatible"": true, ""explicit_refutation"": false, ""raw"": {""premise_anchor"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""shared anchor tokens: martin""}, ""slot_value_alignment"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""same slot""}, ""temporal_compatibility"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""temporal condition is compatible""}, ""explicit_refutation"": {""passed"": false, ""reason"": ""absence_not_refutation"", ""detail"": ""memory does not mention the premise value""}}}","R0 was already correct; use as harm-risk review, not repair opportunity.",,
1,"Did Martin Mark work as a nurse at Huaxin Consulting on Sep 06, 2025?",correct,correct,4,"User works with a colleague named Daniel Martinez, whose expertise in healthcare consulting challenges him to push boundaries and innovate, significantly impacting his career growth",temporal_mismatch,temporal_near_miss,"{""premise_extracted"": {""entity"": ""Martin Mark"", ""object_or_activity"": ""consult sep 2025"", ""slot"": ""generic_yesno"", ""claimed_value"": ""consult sep 2025"", ""polarity"": ""positive"", ""temporal_condition"": ""on Sep 06; Sep 06, 2025"", ""event_condition"": null, ""scope"": null, ""premise_type"": ""generic_yesno"", ""raw_question"": ""Did Martin Mark work as a nurse at Huaxin Consulting on Sep 06, 2025?"", ""anchor_tokens"": [""martin"", ""mark"", ""consult"", ""sep"", ""2025""], ""slot_tokens"": [""generic"", ""yesno"", ""martin"", ""mark"", ""work"", ""nurse"", ""huaxin"", ""consulting"", ""consult"", ""sep"", ""2025""], ""value_tokens"": [""consult"", ""sep"", ""2025""], ""temporal_tokens"": [""sep"", ""2025""]}, ""premise_anchor_match"": true, ""slot_value_alignment"": true, ""temporal_compatible"": false, ""explicit_refutation"": false, ""raw"": {""premise_anchor"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""shared anchor tokens: consult""}, ""slot_value_alignment"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""same slot""}, ""temporal_compatibility"": {""passed"": false, ""reason"": ""temporal_mismatch"", ""detail"": ""premise has strong time condition but memory is undated""}, ""explicit_refutation"": {""passed"": false, ""reason"": ""not_evaluated"", ""detail"": """"}}}","R0 was already correct; use as harm-risk review, not repair opportunity.",,
5,"Is Martin Mark unemployed and struggling financially as of Sep 06, 2025?",correct,correct,1,"User's name is Martin Mark, male, born on August 2, 1996, currently 29 years old, and resides in Columbus.",absence_not_refutation,absence_not_refutation,"{""premise_extracted"": {""entity"": ""Martin Mark"", ""object_or_activity"": ""financially sep 2025"", ""slot"": ""generic_yesno"", ""claimed_value"": ""financially sep 2025"", ""polarity"": ""positive"", ""temporal_condition"": ""Sep 06, 2025"", ""event_condition"": null, ""scope"": null, ""premise_type"": ""generic_yesno"", ""raw_question"": ""Is Martin Mark unemployed and struggling financially as of Sep 06, 2025?"", ""anchor_tokens"": [""martin"", ""mark"", ""financially"", ""sep"", ""2025""], ""slot_tokens"": [""generic"", ""yesno"", ""martin"", ""mark"", ""unemployed"", ""unemploy"", ""struggling"", ""struggl"", ""financially"", ""sep"", ""2025""], ""value_tokens"": [""financially"", ""sep"", ""2025""], ""temporal_tokens"": [""sep"", ""2025""]}, ""premise_anchor_match"": true, ""slot_value_alignment"": true, ""temporal_compatible"": true, ""explicit_refutation"": false, ""raw"": {""premise_anchor"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""shared anchor tokens: mark, martin""}, ""slot_value_alignment"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""same slot""}, ""temporal_compatibility"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""temporal condition is compatible""}, ""explicit_refutation"": {""passed"": false, ""reason"": ""absence_not_refutation"", ""detail"": ""memory does not mention the premise value""}}}","R0 was already correct; use as harm-risk review, not repair opportunity.",,
5,"Is Martin Mark unemployed and struggling financially as of Sep 06, 2025?",correct,correct,2,"User’s parents are both alive, have no spouse or partner, and have no children; his father, born August 2, 1963, is a retired doctor who inspired Martin’s interest in health, while his mother, also born August 2, 1963, is a nurse passionate about community health, and the family’s medical background deeply influences Martin’s passion for promoting well‑being.",absence_not_refutation,absence_not_refutation,"{""premise_extracted"": {""entity"": ""Martin Mark"", ""object_or_activity"": ""financially sep 2025"", ""slot"": ""generic_yesno"", ""claimed_value"": ""financially sep 2025"", ""polarity"": ""positive"", ""temporal_condition"": ""Sep 06, 2025"", ""event_condition"": null, ""scope"": null, ""premise_type"": ""generic_yesno"", ""raw_question"": ""Is Martin Mark unemployed and struggling financially as of Sep 06, 2025?"", ""anchor_tokens"": [""martin"", ""mark"", ""financially"", ""sep"", ""2025""], ""slot_tokens"": [""generic"", ""yesno"", ""martin"", ""mark"", ""unemployed"", ""unemploy"", ""struggling"", ""struggl"", ""financially"", ""sep"", ""2025""], ""value_tokens"": [""financially"", ""sep"", ""2025""], ""temporal_tokens"": [""sep"", ""2025""]}, ""premise_anchor_match"": true, ""slot_value_alignment"": true, ""temporal_compatible"": true, ""explicit_refutation"": false, ""raw"": {""premise_anchor"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""shared anchor tokens: martin""}, ""slot_value_alignment"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""same slot""}, ""temporal_compatibility"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""temporal condition is compatible""}, ""explicit_refutation"": {""passed"": false, ""reason"": ""absence_not_refutation"", ""detail"": ""memory does not mention the premise value""}}}","R0 was already correct; use as harm-risk review, not repair opportunity.",,
10,"Did Martin express a preference for Labradors over Golden Retrievers on Jan 06, 2026?",hallucination,hallucination,1,"User prefers dogs, especially Labradors, because they are friendly, loyal, and serve as great companions for outdoor activities like jogging, which helps him stay fit; he dislikes reptiles such as snakes due to their unsettling unpredictable movements and lack of social behavior; he likes cats for their independence, affection, and soothing purring after a long workday; he also likes parrots for their intelligence and ability to mimic speech, making interactions fun and engaging.",not_refuting,related_but_not_refuting,"{""premise_extracted"": {""entity"": ""Martin"", ""object_or_activity"": ""Labradors over Golden Retrievers"", ""slot"": ""preference_status"", ""claimed_value"": ""Labradors over Golden Retrievers"", ""polarity"": ""positive"", ""temporal_condition"": ""on Jan 06; Jan 06, 2026"", ""event_condition"": null, ""scope"": null, ""premise_type"": ""preference"", ""raw_question"": ""Did Martin express a preference for Labradors over Golden Retrievers on Jan 06, 2026?"", ""anchor_tokens"": [""martin"", ""labradors"", ""labrador"", ""over"", ""golden"", ""retrievers"", ""retriever""], ""slot_tokens"": [""preference"", ""status"", ""statu""], ""value_tokens"": [""labradors"", ""labrador"", ""over"", ""golden"", ""retrievers"", ""retriever""], ""temporal_tokens"": [""jan"", ""2026""]}, ""premise_anchor_match"": true, ""slot_value_alignment"": true, ""temporal_compatible"": true, ""explicit_refutation"": false, ""raw"": {""premise_anchor"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""shared anchor tokens: labrador, labradors""}, ""slot_value_alignment"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""same preference value""}, ""temporal_compatibility"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""stable opposite preference can refute dated preference utterance""}, ""explicit_refutation"": {""passed"": false, ""reason"": ""not_refuting"", ""detail"": ""preference-over evidence lacks exact opposing object""}}}",R0 failed and the rejected memory passed at least one earlier gate; manual audit can decide whether this is real counterevidence.,,
11,"Did Martin Mark mention a preference for reptiles as pets on Sep 07, 2025?",correct,correct,1,"User's name is Martin Mark, male, born on August 2, 1996, currently 29 years old, and resides in Columbus.",absence_not_refutation,absence_not_refutation,"{""premise_extracted"": {""entity"": ""Martin Mark"", ""object_or_activity"": ""pet sep 2025"", ""slot"": ""generic_yesno"", ""claimed_value"": ""pet sep 2025"", ""polarity"": ""positive"", ""temporal_condition"": ""on Sep 07; Sep 07, 2025"", ""event_condition"": null, ""scope"": null, ""premise_type"": ""generic_yesno"", ""raw_question"": ""Did Martin Mark mention a preference for reptiles as pets on Sep 07, 2025?"", ""anchor_tokens"": [""martin"", ""mark"", ""pet"", ""sep"", ""2025""], ""slot_tokens"": [""generic"", ""yesno"", ""martin"", ""mark"", ""preference"", ""reptiles"", ""reptil"", ""pets"", ""pet"", ""sep"", ""2025""], ""value_tokens"": [""pet"", ""sep"", ""2025""], ""temporal_tokens"": [""sep"", ""2025""]}, ""premise_anchor_match"": true, ""slot_value_alignment"": true, ""temporal_compatible"": true, ""explicit_refutation"": false, ""raw"": {""premise_anchor"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""shared anchor tokens: mark, martin""}, ""slot_value_alignment"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""same slot""}, ""temporal_compatibility"": {""passed"": true, ""reason"": ""pass"", ""detail"": ""temporal condition is compatible""}, ""explicit_refutation"": {""passed"": false, ""reason"": ""absence_not_refutation"", ""detail"": ""memory does not mention the premise value""}}}","R0 was already correct; use as harm-risk review, not repair opportunity.",,
