case_id,run_id,dataset,system,source_file,line_no,qa_key,uuid,question_type,question,gold_answer,baseline_response,baseline_label,evidence_count,retrieved_count,token_any_exact_hit,token_any_hit_0p60,token_all_hit_0p60,token_max_coverage,semantic_any_supported,semantic_all_supported,semantic_any_partial_or_supported,semantic_all_partial_or_supported,semantic_any_contradicted,evidence_results_json,case_rationale
mem0_medium:10,mem0_medium,medium,mem0,outputs\baseline_sharded_v2\mem0_medium\merged\mem0_medium_qa_merged.jsonl,10,1:5:1,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,Memory Conflict,"Did Martin express a preference for Labradors over Golden Retrievers on Jan 06, 2026?","No, Martin prefers Golden Retrievers over Labradors.",No mention of Golden Retrievers.,hallucination,3,20,False,False,False,0.3571,False,False,False,False,True,"[{""evidence_id"": ""e1"", ""gold_evidence"": ""Martin has modified his pet preference from Labradors to Golden Retrievers due to their gentle nature and adaptability."", ""status"": ""contradicted"", ""best_memory_ids"": [""m1""], ""rationale"": ""m1 states preference for Labradors, while e1 says Martin changed preference to Golden Retrievers.""}, {""evidence_id"": ""e2"", ""gold_evidence"": ""Martin appreciates Golden Retrievers for their calm demeanor and ability to adapt to different situations."", ""status"": ""not_supported"", ""best_memory_ids"": [], ""rationale"": ""No retrieved memory mentions Golden Retrievers or their traits.""}, {""evidence_id"": ""e3"", ""gold_evidence"": ""Martin's interaction with a friend's Golden Retriever impressed him and influenced his pet preference."", ""status"": ""not_supported"", ""best_memory_ids"": [], ""rationale"": ""No retrieved memory mentions interaction with a friend's Golden Retriever.""}]","Retrieved memories contain outdated preference for Labradors, contradicting the updated preference for Golden Retrievers."
mem0_medium:12,mem0_medium,medium,mem0,outputs\baseline_sharded_v2\mem0_medium\merged\mem0_medium_qa_merged.jsonl,12,1:5:3,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,Generalization & Application,How might Martin's preference for Golden Retrievers influence his choice of pet during stressful work periods in 2026?,Golden Retrievers provide relaxation and emotional support.,No mention of Golden Retrievers.,omission,3,20,False,False,False,0.4667,False,False,True,False,False,"[{""evidence_id"": ""e1"", ""gold_evidence"": ""Martin appreciates Golden Retrievers for their calm demeanor and ability to adapt to different situations."", ""status"": ""not_supported"", ""best_memory_ids"": [], ""rationale"": ""No retrieved memory mentions Golden Retrievers or their calm demeanor.""}, {""evidence_id"": ""e2"", ""gold_evidence"": ""Martin sees pets as essential for emotional support and companionship, enhancing his mental well-being."", ""status"": ""partially_supported"", ""best_memory_ids"": [""m10""], ""rationale"": ""Memory m10 mentions prioritizing well-being, but does not explicitly state pets as essential for emotional support.""}, {""evidence_id"": ""e3"", ""gold_evidence"": ""Martin discussed how pets provide relaxation and comfort, balancing his demanding career."", ""status"": ""not_supported"", ""best_memory_ids"": [], ""rationale"": ""No retrieved memory discusses pets providing relaxation or comfort.""}]",Retrieved memories lack specific facts about Golden Retrievers or pets providing emotional support; only vague well-being themes appear.
mem0_medium:18,mem0_medium,medium,mem0,outputs\baseline_sharded_v2\mem0_medium\merged\mem0_medium_qa_merged.jsonl,18,1:8:6,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,Multi-hop Inference,"How did Martin's change in pet preference reflect his openness to new experiences as of January 10, 2026?",Switching from Labradors to Golden Retrievers.,No relevant memory found.,omission,2,20,False,False,False,0.2381,False,False,False,False,False,"[{""evidence_id"": ""e1"", ""gold_evidence"": ""Martin's recent change in pet preference from Labradors to Golden Retrievers reflects his openness to new experiences."", ""status"": ""not_supported"", ""best_memory_ids"": [], ""rationale"": ""No retrieved memory mentions a change in pet preference from Labradors to Golden Retrievers.""}, {""evidence_id"": ""e2"", ""gold_evidence"": ""Martin expressed optimism about integrating his new pet preference into his daily life, seeing it as a way to help manage stress."", ""status"": ""not_supported"", ""best_memory_ids"": [], ""rationale"": ""No retrieved memory mentions optimism about integrating a new pet preference or managing stress through it.""}]",Retrieved memories are topically unrelated to the pet preference change; m11 mentions liking Labradors but no switch to Golden Retrievers.
mem0_medium:17,mem0_medium,medium,mem0,outputs\baseline_sharded_v2\mem0_medium\merged\mem0_medium_qa_merged.jsonl,17,1:8:5,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,Multi-hop Inference,"What role did Martin transition to on March 01, 2026, that improved his mental health?",A role offering a healthier work-life balance.,No relevant memory found.,omission,2,20,False,False,False,0.4167,False,False,False,False,False,"[{""evidence_id"": ""e1"", ""gold_evidence"": ""Martin successfully transitioned to a new role offering a healthier balance between professional demands and personal well-being."", ""status"": ""not_supported"", ""best_memory_ids"": [], ""rationale"": ""No retrieved memory mentions a transition to a new role on March 01, 2026, or a role offering healthier work-life balance.""}, {""evidence_id"": ""e2"", ""gold_evidence"": ""Martin's new role has improved his mental health and job satisfaction."", ""status"": ""not_supported"", ""best_memory_ids"": [], ""rationale"": ""No retrieved memory states that a new role improved mental health and job satisfaction.""}]","Retrieved memories discuss current role, personal background, and desires for work-life balance, but none contain the factual claim that Martin transitioned to a new role on March 01, 2026, or that such a role improved his mental health."
mem0_medium:21,mem0_medium,medium,mem0,outputs\baseline_sharded_v2\mem0_medium\merged\mem0_medium_qa_merged.jsonl,21,1:9:1,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,Generalization & Application,"What type of new physical activity might Martin be interested in trying after April 10, 2026?",Other extreme sports.,No relevant memory found.,omission,2,20,False,False,False,0.44,False,False,False,False,True,"[{""evidence_id"": ""e1"", ""gold_evidence"": ""Martin has developed a newfound appreciation for extreme sports like simulated skydiving, valuing the thrill and challenge they offer while maintaining a commitment to safety measures."", ""status"": ""contradicted"", ""best_memory_ids"": [""m10""], ""rationale"": ""Memory m10 states user dislikes extreme sports like skydiving due to high risk, contradicting gold evidence that he appreciates extreme sports.""}, {""evidence_id"": ""e2"", ""gold_evidence"": ""Martin's experience at a team-building event led to a shift in his sports preferences, embracing extreme sports for their adrenaline and adventure."", ""status"": ""contradicted"", ""best_memory_ids"": [""m10""], ""rationale"": ""Memory m10 contradicts the shift towards embracing extreme sports; it shows dislike for extreme sports.""}]",Retrieved memories contain a stale/opposite fact (m10) that contradicts both gold evidence items about Martin's interest in extreme sports.
mem0_medium:20,mem0_medium,medium,mem0,outputs\baseline_sharded_v2\mem0_medium\merged\mem0_medium_qa_merged.jsonl,20,1:8:8,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,Multi-hop Inference,"How did Martin's colleagues influence his career transition as discussed on February 05, 2026?",Through insights and a collaborative approach.,No relevant memories found.,omission,2,20,False,True,False,0.8,True,True,True,True,False,"[{""evidence_id"": ""e1"", ""gold_evidence"": ""Martin's colleague Daniel offered valuable insights that pushed him to think outside the box in his career."", ""status"": ""supported"", ""best_memory_ids"": [""m1""], ""rationale"": ""m1 mentions colleague Daniel Martinez providing expertise that challenges user to push boundaries and innovate, which aligns with Daniel offering valuable insights that pushed Martin to think outside the box.""}, {""evidence_id"": ""e2"", ""gold_evidence"": ""Martin's colleague Joshua's collaborative approach positively influenced Martin's leadership style."", ""status"": ""supported"", ""best_memory_ids"": [""m3""], ""rationale"": ""m3 mentions colleague Joshua Williams whose collaborative approach positively influences user's work and leadership style, matching Joshua's collaborative approach positively influencing Martin's leadership style.""}]","Both gold evidence facts are supported by retrieved memories: m1 supports e1, m3 supports e2."
mem0_medium:23,mem0_medium,medium,mem0,outputs\baseline_sharded_v2\mem0_medium\merged\mem0_medium_qa_merged.jsonl,23,1:9:3,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,Basic Fact Recall,"What activity did Martin participate in during a team-building event on April 10, 2026?",Simulated skydiving,No relevant memory found.,omission,1,20,False,False,False,0.25,False,False,False,False,False,"[{""evidence_id"": ""e1"", ""gold_evidence"": ""Martin participated in a simulated skydiving experience during a team-building event, which influenced his sports preferences."", ""status"": ""not_supported"", ""best_memory_ids"": [], ""rationale"": ""No retrieved memory mentions simulated skydiving or any team-building activity on April 10, 2026.""}]","Retrieved memories are about personal background, habits, and work, but none contain the factual claim about Martin's team-building activity."
mem0_medium:22,mem0_medium,medium,mem0,outputs\baseline_sharded_v2\mem0_medium\merged\mem0_medium_qa_merged.jsonl,22,1:9:2,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,Generalization & Application,How might Martin's approach to overcoming creative blocks influence his choice of activities in the future?,Choosing challenging physical activities.,Seek new roles for inspiration.,hallucination,2,20,False,False,False,0.4615,False,False,False,False,False,"[{""evidence_id"": ""e1"", ""gold_evidence"": ""Engaging in extreme sports helps Martin overcome creative blocks and inspires new ideas."", ""status"": ""not_supported"", ""best_memory_ids"": [], ""rationale"": ""No retrieved memory mentions extreme sports or engaging in physical activities to overcome creative blocks.""}, {""evidence_id"": ""e2"", ""gold_evidence"": ""Martin's openness to new experiences is reflected in his evolving sports preferences and his willingness to explore new dimensions of personal growth."", ""status"": ""not_supported"", ""best_memory_ids"": [], ""rationale"": ""No retrieved memory discusses evolving sports preferences or exploring new dimensions of personal growth.""}]",Retrieved memories are topically related to creativity and personal growth but lack the specific factual claims about extreme sports or evolving sports preferences.
mem0_medium:31,mem0_medium,medium,mem0,outputs\baseline_sharded_v2\mem0_medium\merged\mem0_medium_qa_merged.jsonl,31,1:12:2,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,Memory Conflict,"Did Martin's movie preference shift from fictional narratives to documentaries after a relaxing week on Jan 19, 2027?","No, Martin's preference shifted to fictional narratives after a stressful week.",No evidence of such shift.,omission,2,20,False,False,False,0.3125,False,False,False,False,False,"[{""evidence_id"": ""e1"", ""gold_evidence"": ""Martin's movie preference has shifted from documentaries to fictional narratives that provide a mental escape."", ""status"": ""not_supported"", ""best_memory_ids"": [], ""rationale"": ""No retrieved memory mentions a shift from documentaries to fictional narratives or a stressful week.""}, {""evidence_id"": ""e2"", ""gold_evidence"": ""Martin finds himself drawn towards fictional narratives that offer a mental break after a stressful week."", ""status"": ""not_supported"", ""best_memory_ids"": [], ""rationale"": ""No retrieved memory mentions fictional narratives as a mental break after a stressful week.""}]","Retrieved memories discuss movie preferences (documentaries, horror, slasher) but not the shift to fictional narratives after a stressful week."
mem0_medium:32,mem0_medium,medium,mem0,outputs\baseline_sharded_v2\mem0_medium\merged\mem0_medium_qa_merged.jsonl,32,1:12:3,2f1f897e-d67f-dbc5-6a7b-b7634a9e294f,Generalization & Application,What type of movie genres might Martin explore to relax after a stressful week in 2027?,Adventure and fantasy genres.,"Documentaries, classical music, nature hikes.",hallucination,2,20,False,False,False,0.3158,False,False,False,False,False,"[{""evidence_id"": ""e1"", ""gold_evidence"": ""Martin's exploratory motivation leads him to test boundaries and find new ways to unwind through movie choices, particularly adventure and fantasy genres."", ""status"": ""not_supported"", ""best_memory_ids"": [], ""rationale"": ""No retrieved memory mentions adventure or fantasy genres for relaxation.""}, {""evidence_id"": ""e2"", ""gold_evidence"": ""Martin expresses curiosity about exploring different movie genres, such as adventure and fantasy, to find new avenues for relaxation."", ""status"": ""not_supported"", ""best_memory_ids"": [], ""rationale"": ""No retrieved memory mentions exploring adventure or fantasy genres.""}]","Retrieved memories discuss documentaries, music, wellness retreats, but not adventure or fantasy movie genres."
