excel_row,样本编号,问题编号,问题,R0标签,R3a标签,R3a是否触发,记忆编号,候选记忆文本,自动拒绝原因,候选类型,自动抽取主体,自动抽取槽位,自动抽取声明值,自动抽取时间条件,自动门控轨迹,自动失败来源,人工_是否有已检索反证,人工_问题前提抽取是否正确,人工_槽位归类是否正确,人工_这条记忆是否反驳问题前提,人工_是否本该触发R3a,人工_自动拒绝是否合理,人工_失败来源,人工_审计备注,审计者,复核状态,复核备注
4,29,1:12:2,"Did Martin's movie preference shift from fictional narratives to documentaries after a relaxing week on Jan 19, 2027?",omission,omission,False,1,"User likes documentaries because they are informative and provide real‑world insights that complement his thirst for knowledge; he avoids horror films as they can be disturbing and undermine the positive mindset he strives to maintain; he also dislikes slasher films due to excessive violence, preferring movies with meaningful narratives.",slot_mismatch,slot_value_near_miss,Martin,transition,fictional narratives -> documentaries,"shift from; after a relaxing week on Jan 19; Jan 19, 2027","premise_anchor:True:pass:shared anchor tokens: narrativ, narratives | slot_value_alignment:False:slot_mismatch:transition premise needs same preference/action value | temporal_compatibility:False:not_evaluated: | explicit_refutation:False:not_evaluated:",no_counterevidence_in_raw_memories,没有,正确,正确,不是反证但有用,不该触发,合理,,Memory mentions documentaries and narratives but does not show a shift from fictional narratives.,陆含,未复核,
5,29,1:12:2,"Did Martin's movie preference shift from fictional narratives to documentaries after a relaxing week on Jan 19, 2027?",omission,omission,False,2,"User’s parents are both alive, have no spouse or partner, and have no children; his father, born August 2, 1963, is a retired doctor who inspired Martin’s interest in health, while his mother, also born August 2, 1963, is a nurse passionate about community health, and the family’s medical background deeply influences Martin’s passion for promoting well‑being.",slot_mismatch,slot_value_near_miss,Martin,transition,fictional narratives -> documentaries,"shift from; after a relaxing week on Jan 19; Jan 19, 2027",premise_anchor:True:pass:shared anchor tokens: martin | slot_value_alignment:False:slot_mismatch:transition premise needs same preference/action value | temporal_compatibility:False:not_evaluated: | explicit_refutation:False:not_evaluated:,no_counterevidence_in_raw_memories,没有,正确,正确,不是反证,不该触发,合理,,Family background does not address the movie preference shift.,陆含,未复核,
6,29,1:12:2,"Did Martin's movie preference shift from fictional narratives to documentaries after a relaxing week on Jan 19, 2027?",omission,omission,False,3,"User's name is Martin Mark, male, born on August 2, 1996, currently 29 years old, and resides in Columbus.",slot_mismatch,slot_value_near_miss,Martin,transition,fictional narratives -> documentaries,"shift from; after a relaxing week on Jan 19; Jan 19, 2027",premise_anchor:True:pass:shared anchor tokens: martin | slot_value_alignment:False:slot_mismatch:transition premise needs same preference/action value | temporal_compatibility:False:not_evaluated: | explicit_refutation:False:not_evaluated:,no_counterevidence_in_raw_memories,没有,正确,正确,不是反证,不该触发,合理,,Identity information does not address the movie preference shift.,陆含,未复核,
7,40,1:15:3,"Did Martin decide to keep using traditional athletic wear after attending the seminar on Oct 29, 2027?",omission,omission,False,1,"User likes comfortable athletic wear for its comfort and flexibility, ideal for his active lifestyle; he prefers casual business attire as it balances professionalism with comfort at work; he chooses eco‑friendly fabrics because they align with his sustainability and environmental values; he dislikes formal wear as it feels restrictive, preferring clothing that allows easy movement and comfort.",slot_mismatch,slot_value_near_miss,Martin,activity,traditional athletic wear,"decide to; after attending the seminar on Oct 29; Oct 29, 2027",premise_anchor:True:pass:shared anchor tokens: wear | slot_value_alignment:False:slot_mismatch:activity object differs | temporal_compatibility:False:not_evaluated: | explicit_refutation:False:not_evaluated:,no_counterevidence_in_raw_memories,不确定,部分正确,过宽,模糊反证,不确定,部分合理,人工无法判断,"Eco-friendly fabric preference may conflict with keeping traditional athletic wear, but it is not explicit.",陆含,未复核,
8,40,1:15:3,"Did Martin decide to keep using traditional athletic wear after attending the seminar on Oct 29, 2027?",omission,omission,False,2,"User's name is Martin Mark, male, born on August 2, 1996, currently 29 years old, and resides in Columbus.",slot_mismatch,slot_value_near_miss,Martin,activity,traditional athletic wear,"decide to; after attending the seminar on Oct 29; Oct 29, 2027",premise_anchor:True:pass:shared anchor tokens: martin | slot_value_alignment:False:slot_mismatch:premise slot activity vs memory slot generic_yesno | temporal_compatibility:False:not_evaluated: | explicit_refutation:False:not_evaluated:,no_counterevidence_in_raw_memories,没有,部分正确,过宽,不是反证,不该触发,合理,,Identity information does not address the athletic-wear decision.,陆含,未复核,
9,40,1:15:3,"Did Martin decide to keep using traditional athletic wear after attending the seminar on Oct 29, 2027?",omission,omission,False,3,"Despite a challenging journey, Martin feels hopeful and optimistic about finding a role that supports both his career ambitions and personal health.",slot_mismatch,slot_value_near_miss,Martin,activity,traditional athletic wear,"decide to; after attending the seminar on Oct 29; Oct 29, 2027",premise_anchor:True:pass:shared anchor tokens: martin | slot_value_alignment:False:slot_mismatch:premise slot activity vs memory slot health_status | temporal_compatibility:False:not_evaluated: | explicit_refutation:False:not_evaluated:,no_counterevidence_in_raw_memories,没有,部分正确,过宽,不是反证,不该触发,合理,,Career optimism does not address the athletic-wear decision.,陆含,未复核,
10,44,1:21:3,"Was Martin closed to new experiences and uninterested in sports that challenge him mentally after May 05, 2028?",omission,omission,False,3,"User’s parents are both alive, have no spouse or partner, and have no children; his father, born August 2, 1963, is a retired doctor who inspired Martin’s interest in health, while his mother, also born August 2, 1963, is a nurse passionate about community health, and the family’s medical background deeply influences Martin’s passion for promoting well‑being.",absence_not_refutation,absence_not_refutation,Martin,generic_yesno,mentally may 2028,"after May 05; May 05, 2028",premise_anchor:True:pass:shared anchor tokens: martin | slot_value_alignment:True:pass:same slot | temporal_compatibility:True:pass:temporal condition is compatible | explicit_refutation:False:absence_not_refutation:memory does not mention the premise value,temporal_gate_too_strict,没有,错误,过宽,不是反证,不该触发,合理,,Family medical background does not address openness to new experiences or challenging sports.,陆含,未复核,
11,44,1:21:3,"Was Martin closed to new experiences and uninterested in sports that challenge him mentally after May 05, 2028?",omission,omission,False,7,"User's name is Martin Mark, male, born on August 2, 1996, currently 29 years old, and resides in Columbus.",absence_not_refutation,absence_not_refutation,Martin,generic_yesno,mentally may 2028,"after May 05; May 05, 2028",premise_anchor:True:pass:shared anchor tokens: martin | slot_value_alignment:True:pass:same slot | temporal_compatibility:True:pass:temporal condition is compatible | explicit_refutation:False:absence_not_refutation:memory does not mention the premise value,temporal_gate_too_strict,没有,错误,过宽,不是反证,不该触发,合理,,Identity information does not address openness to new experiences or challenging sports.,陆含,未复核,
12,44,1:21:3,"Was Martin closed to new experiences and uninterested in sports that challenge him mentally after May 05, 2028?",omission,omission,False,12,Martin expresses readiness to take on new challenges and opportunities in his current position.,absence_not_refutation,absence_not_refutation,Martin,generic_yesno,mentally may 2028,"after May 05; May 05, 2028",premise_anchor:True:pass:shared anchor tokens: martin | slot_value_alignment:True:pass:same slot | temporal_compatibility:True:pass:temporal condition is compatible | explicit_refutation:False:absence_not_refutation:memory does not mention the premise value,temporal_gate_too_strict,明确有,错误,过宽,真反证,应该触发,不合理,问题前提抽取错误,Readiness for new challenges contradicts being closed to new experiences.,陆含,未复核,
13,45,1:21:2,"Did Martin's perception of boxing remain purely negative after May 05, 2028?",omission,omission,False,3,"User’s parents are both alive, have no spouse or partner, and have no children; his father, born August 2, 1963, is a retired doctor who inspired Martin’s interest in health, while his mother, also born August 2, 1963, is a nurse passionate about community health, and the family’s medical background deeply influences Martin’s passion for promoting well‑being.",absence_not_refutation,absence_not_refutation,Martin,generic_yesno,negative may 2028,"after May 05; May 05, 2028",premise_anchor:True:pass:shared anchor tokens: martin | slot_value_alignment:True:pass:same slot | temporal_compatibility:True:pass:temporal condition is compatible | explicit_refutation:False:absence_not_refutation:memory does not mention the premise value,premise_extraction_error,没有,部分正确,过宽,不是反证,不该触发,合理,,Family medical background does not address boxing perception.,陆含,未复核,
14,45,1:21:2,"Did Martin's perception of boxing remain purely negative after May 05, 2028?",omission,omission,False,7,"User's name is Martin Mark, male, born on August 2, 1996, currently 29 years old, and resides in Columbus.",absence_not_refutation,absence_not_refutation,Martin,generic_yesno,negative may 2028,"after May 05; May 05, 2028",premise_anchor:True:pass:shared anchor tokens: martin | slot_value_alignment:True:pass:same slot | temporal_compatibility:True:pass:temporal condition is compatible | explicit_refutation:False:absence_not_refutation:memory does not mention the premise value,premise_extraction_error,没有,部分正确,过宽,不是反证,不该触发,合理,,Identity information does not address boxing perception.,陆含,未复核,
