idx,qa_key,question,question_type,baseline_label,raw_memory_count,suspected_counterevidence_count,top_suspicion_score,top_suspected_reason
0,1:1:1,What is Martin Mark's middle name?,Memory Boundary,correct,19,1,4,"shared entity/name anchor; negation/contrast cues: no, retired"
1,1:1:2,What is Martin Mark's birth date?,Basic Fact Recall,correct,19,1,4,"shared entity/name anchor; negation/contrast cues: no, retired"
2,1:1:3,Did Martin Mark establish a global health initiative with his partner in 2025?,Memory Conflict,correct,19,3,8,"shared topic/object tokens: establish, global, health, initiative; possible event completion vs plan/alternative contrast"
3,1:2:1,"Did Martin Mark work as a nurse at Huaxin Consulting on Sep 06, 2025?",Memory Conflict,correct,19,3,8,"shared topic/object tokens: 2025, consult, huaxin; shared entity/name anchor; negation/contrast cues: employed; temporal/update cues overlap with question timing"
4,1:2:2,"Is Martin Mark unemployed and struggling financially as of Sep 06, 2025?",Memory Conflict,correct,19,3,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
5,1:2:3,"What is Martin Mark's job title as of Sep 06, 2025?",Basic Fact Recall,correct,19,3,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
6,1:3:1,What is Martin Mark's middle name?,Memory Boundary,correct,19,1,4,"shared entity/name anchor; negation/contrast cues: no, retired"
7,1:3:2,"Did Martin Mark mention a preference for reptiles as pets on Sep 07, 2025?",Memory Conflict,correct,19,4,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
8,1:3:3,What type of pets does Martin Mark like?,Basic Fact Recall,correct,19,3,5,"shared topic/object tokens: like; negation/contrast cues: avoids, dislikes; weak preference contrast"
9,1:5:1,"Did Martin express a preference for Labradors over Golden Retrievers on Jan 06, 2026?",Memory Conflict,hallucination,20,3,8,shared topic/object tokens: labrador; shared entity/name anchor; negation/contrast cues: dislikes; temporal/update cues overlap with question timing; weak preference contrast
10,1:5:2,"What is Martin's friend's name whose Golden Retriever he interacted with on Jan 06, 2026?",Memory Boundary,omission,20,2,6,shared topic/object tokens: name; shared entity/name anchor; temporal/update cues overlap with question timing
11,1:5:3,How might Martin's preference for Golden Retrievers influence his choice of pet during stressful work periods in 2026?,Generalization & Application,omission,20,2,4,"shared entity/name anchor; negation/contrast cues: no, retired"
12,1:8:1,What is Martin Mark's middle name?,Memory Boundary,correct,20,1,4,"shared entity/name anchor; negation/contrast cues: no, retired"
13,1:8:2,What was Martin Mark's salary as a director at Huaxin Consulting?,Memory Boundary,hallucination,20,1,4,"shared entity/name anchor; negation/contrast cues: no, retired"
14,1:8:3,What is Martin Mark's blood type?,Memory Boundary,omission,20,1,4,"shared entity/name anchor; negation/contrast cues: no, retired"
15,1:8:4,Did Martin Mark have any siblings mentioned in the dialogues?,Memory Boundary,correct,20,1,4,"shared entity/name anchor; negation/contrast cues: no, retired"
