run_id,dataset,system,question_type,records,wrong,wrong_rate,wrong_hallucination,wrong_omission,wrong_with_evidence,wrong_without_evidence,wrong_any_strict_hit,wrong_any_strict_hit_rate_evidence_wrong,wrong_any_coverage_hit_0p60,wrong_any_coverage_hit_rate_evidence_wrong
mem0_medium,medium,mem0,Basic Fact Recall,746,638,85.52,184,454,638,0,0,0.0,6,0.94
mem0_medium,medium,mem0,Dynamic Update,180,154,85.56,99,55,154,0,0,0.0,2,1.3
mem0_medium,medium,mem0,Generalization & Application,746,616,82.57,213,403,616,0,0,0.0,6,0.97
mem0_medium,medium,mem0,Memory Boundary,828,172,20.77,28,144,0,172,0,0.0,0,0.0
mem0_medium,medium,mem0,Memory Conflict,769,510,66.32,76,434,510,0,0,0.0,4,0.78
mem0_medium,medium,mem0,Multi-hop Inference,198,173,87.37,27,146,173,0,0,0.0,5,2.89
supermemory_medium,medium,supermemory,Basic Fact Recall,746,641,85.92,580,61,641,0,2,0.31,0,0.0
supermemory_medium,medium,supermemory,Dynamic Update,180,163,90.56,121,42,163,0,0,0.0,0,0.0
supermemory_medium,medium,supermemory,Generalization & Application,746,415,55.63,362,53,415,0,3,0.72,1,0.24
supermemory_medium,medium,supermemory,Memory Boundary,828,461,55.68,282,179,0,461,0,0.0,0,0.0
supermemory_medium,medium,supermemory,Memory Conflict,769,317,41.22,193,124,317,0,0,0.0,1,0.32
supermemory_medium,medium,supermemory,Multi-hop Inference,198,131,66.16,103,28,131,0,1,0.76,3,2.29
memobase_medium,medium,memobase,Basic Fact Recall,746,708,94.91,88,620,708,0,0,0.0,5,0.71
memobase_medium,medium,memobase,Dynamic Update,180,168,93.33,52,116,168,0,0,0.0,2,1.19
memobase_medium,medium,memobase,Generalization & Application,746,638,85.52,128,510,638,0,1,0.16,4,0.63
memobase_medium,medium,memobase,Memory Boundary,828,127,15.34,9,118,0,127,0,0.0,0,0.0
memobase_medium,medium,memobase,Memory Conflict,769,634,82.44,45,589,634,0,1,0.16,4,0.63
memobase_medium,medium,memobase,Multi-hop Inference,198,176,88.89,34,142,176,0,2,1.14,2,1.14
memos_medium,medium,memos,Basic Fact Recall,746,369,49.46,256,113,369,0,0,0.0,54,14.63
memos_medium,medium,memos,Dynamic Update,180,102,56.67,79,23,102,0,0,0.0,18,17.65
memos_medium,medium,memos,Generalization & Application,746,299,40.08,278,21,299,0,0,0.0,125,41.81
memos_medium,medium,memos,Memory Boundary,828,208,25.12,62,146,0,208,0,0.0,0,0.0
memos_medium,medium,memos,Memory Conflict,769,119,15.47,107,12,119,0,0,0.0,46,38.66
memos_medium,medium,memos,Multi-hop Inference,198,100,50.51,66,34,100,0,0,0.0,35,35.0
mem0_long,long,mem0,Basic Fact Recall,746,710,95.17,105,605,710,0,0,0.0,0,0.0
mem0_long,long,mem0,Dynamic Update,180,170,94.44,46,124,170,0,0,0.0,3,1.76
mem0_long,long,mem0,Generalization & Application,746,643,86.19,203,440,643,0,0,0.0,7,1.09
mem0_long,long,mem0,Memory Boundary,828,151,18.24,50,101,0,151,0,0.0,0,0.0
mem0_long,long,mem0,Memory Conflict,769,534,69.44,45,489,534,0,0,0.0,2,0.37
mem0_long,long,mem0,Multi-hop Inference,198,182,91.92,35,147,182,0,0,0.0,1,0.55
memobase_long,long,memobase,Basic Fact Recall,746,721,96.65,65,656,721,0,0,0.0,0,0.0
memobase_long,long,memobase,Dynamic Update,180,174,96.67,26,148,174,0,0,0.0,1,0.57
memobase_long,long,memobase,Generalization & Application,746,681,91.29,92,589,681,0,1,0.15,0,0.0
memobase_long,long,memobase,Memory Boundary,828,142,17.15,5,137,0,142,0,0.0,0,0.0
memobase_long,long,memobase,Memory Conflict,769,668,86.87,23,645,668,0,2,0.3,2,0.3
memobase_long,long,memobase,Multi-hop Inference,198,189,95.45,20,169,189,0,2,1.06,0,0.0
memos_long,long,memos,Basic Fact Recall,746,364,48.79,252,112,364,0,0,0.0,46,12.64
memos_long,long,memos,Dynamic Update,180,103,57.22,88,15,103,0,0,0.0,18,17.48
memos_long,long,memos,Generalization & Application,746,312,41.82,280,32,312,0,0,0.0,120,38.46
memos_long,long,memos,Memory Boundary,828,211,25.48,49,162,0,211,0,0.0,0,0.0
memos_long,long,memos,Memory Conflict,769,119,15.47,110,9,119,0,0,0.0,40,33.61
memos_long,long,memos,Multi-hop Inference,198,100,50.51,71,29,100,0,0,0.0,35,35.0
