idx,qa_key,question,question_type,baseline_label,r3a_triggered,memory_index,memory_text,topic_overlap_score,negation_or_contrast_score,temporal_conflict_score,preference_reversal_score,event_denial_score,total_suspicion_score,suspected_reason,r3a_rejected_reason_if_available,priority_group,manual_has_retrieved_counterevidence,manual_counterevidence_label,manual_should_r3a_trigger,manual_failure_source,manual_notes
177,2:9:2,"Did Johnson Joseph's Albi B&B host over 10,000 guests by Jun 21, 2026?",Memory Conflict,omission,False,15,"User enjoys cycling to explore the countryside around Albi and stay fit, likes hiking for mental clarity and natural beauty, and avoids golf because it is too slow‑paced and does not keep him moving.",3,3,0,2,4,12,"shared topic/object tokens: albi; shared entity/name anchor; negation/contrast cues: avoids, does not, not; weak preference contrast; possible event completion vs plan/alternative contrast",premise_anchor_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
843,5:51:3,"Did Donna Gonzalez express a dislike for integrating lessons from extreme sports into her music compositions on May 06, 2036?",Memory Conflict,omission,False,3,"User's father, born May 6, 1952, is a retired music teacher who inspired Donna's early interest in music.",4,1,2,5,0,12,"shared topic/object tokens: may, music; shared entity/name anchor; negation/contrast cues: retired; temporal/update cues overlap with question timing; possible preference polarity reversal",premise_anchor_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
843,5:51:3,"Did Donna Gonzalez express a dislike for integrating lessons from extreme sports into her music compositions on May 06, 2036?",Memory Conflict,omission,False,5,"User's mother, born May 6, 1952, is a former concert pianist who instilled a love for classical music in Donna.",5,0,2,5,0,12,"shared topic/object tokens: donna, may, music; shared entity/name anchor; temporal/update cues overlap with question timing; possible preference polarity reversal",slot_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
44,1:21:2,"Did Martin's perception of boxing remain purely negative after May 05, 2028?",Memory Conflict,omission,False,3,"User’s parents are both alive, have no spouse or partner, and have no children; his father, born August 2, 1963, is a retired doctor who inspired Martin’s interest in health, while his mother, also born August 2, 1963, is a nurse passionate about community health, and the family’s medical background deeply influences Martin’s passion for promoting well‑being.",2,2,2,5,0,11,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing; possible preference polarity reversal",absence_not_refutation,P1_memory_conflict_omission_untriggered_suspected,,,,,
45,1:21:3,"Was Martin closed to new experiences and uninterested in sports that challenge him mentally after May 05, 2028?",Memory Conflict,omission,False,3,"User’s parents are both alive, have no spouse or partner, and have no children; his father, born August 2, 1963, is a retired doctor who inspired Martin’s interest in health, while his mother, also born August 2, 1963, is a nurse passionate about community health, and the family’s medical background deeply influences Martin’s passion for promoting well‑being.",2,2,2,5,0,11,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing; possible preference polarity reversal",absence_not_refutation,P1_memory_conflict_omission_untriggered_suspected,,,,,
61,1:23:3,"On Aug 08, 2028, did Martin show disinterest in cooperative gaming opportunities?",Memory Conflict,omission,False,8,"User’s parents are both alive, have no spouse or partner, and have no children; his father, born August 2, 1963, is a retired doctor who inspired Martin’s interest in health, while his mother, also born August 2, 1963, is a nurse passionate about community health, and the family’s medical background deeply influences Martin’s passion for promoting well‑being.",2,2,2,5,0,11,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing; possible preference polarity reversal",,P1_memory_conflict_omission_untriggered_suspected,,,,,
89,1:34:2,"Did Martin Mark's perception of wrestling remain negative after attending a live event on May 31, 2030?",Memory Conflict,omission,False,13,"User’s parents are both alive, have no spouse or partner, and have no children; his father, born August 2, 1963, is a retired doctor who inspired Martin’s interest in health, while his mother, also born August 2, 1963, is a nurse passionate about community health, and the family’s medical background deeply influences Martin’s passion for promoting well‑being.",2,2,2,5,0,11,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing; possible preference polarity reversal",absence_not_refutation,P1_memory_conflict_omission_untriggered_suspected,,,,,
93,1:35:3,"Did Martin express skepticism about responsible gaming practices during his friend's recovery on Sep 04, 2030?",Memory Conflict,omission,False,8,"User’s parents are both alive, have no spouse or partner, and have no children; his father, born August 2, 1963, is a retired doctor who inspired Martin’s interest in health, while his mother, also born August 2, 1963, is a nurse passionate about community health, and the family’s medical background deeply influences Martin’s passion for promoting well‑being.",2,2,2,5,0,11,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing; possible preference polarity reversal",absence_not_refutation,P1_memory_conflict_omission_untriggered_suspected,,,,,
105,1:40:3,"Did Martin Mark find rock music therapeutic during stressful periods at work on Sep 16, 2031?",Memory Conflict,omission,False,2,"Martin transitioned to a new role, reporting huge relief and a much healthier balance between work and personal life, marking a significant improvement over his previous position.",3,1,3,0,4,11,shared topic/object tokens: work; shared entity/name anchor; negation/contrast cues: transitioned; temporal/update cues overlap with question timing; possible event completion vs plan/alternative contrast,absence_not_refutation,P1_memory_conflict_omission_untriggered_suspected,,,,,
135,1:55:1,"Did Martin Mark express disinterest in socially conscious rap music on October 11, 2033?",Memory Conflict,omission,False,4,"User’s parents are both alive, have no spouse or partner, and have no children; his father, born August 2, 1963, is a retired doctor who inspired Martin’s interest in health, while his mother, also born August 2, 1963, is a nurse passionate about community health, and the family’s medical background deeply influences Martin’s passion for promoting well‑being.",2,2,2,5,0,11,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing; possible preference polarity reversal",slot_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
154,1:63:2,"Did Martin Mark decide to avoid stylish athletic wear after May 01, 2035?",Memory Conflict,omission,False,6,"User’s parents are both alive, have no spouse or partner, and have no children; his father, born August 2, 1963, is a retired doctor who inspired Martin’s interest in health, while his mother, also born August 2, 1963, is a nurse passionate about community health, and the family’s medical background deeply influences Martin’s passion for promoting well‑being.",2,2,2,5,0,11,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing; possible preference polarity reversal",slot_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
156,1:64:1,"Did Martin Mark express disinterest in integrating insights from a study on feline communication into his pet preferences on Aug 03, 2035?",Memory Conflict,omission,False,16,"User’s parents are both alive, have no spouse or partner, and have no children; his father, born August 2, 1963, is a retired doctor who inspired Martin’s interest in health, while his mother, also born August 2, 1963, is a nurse passionate about community health, and the family’s medical background deeply influences Martin’s passion for promoting well‑being.",2,2,2,5,0,11,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing; possible preference polarity reversal",slot_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
241,2:35:1,"Did Johnson Joseph maintain his dislike for cats at Albi B&B as of June 16, 2033?",Memory Conflict,omission,False,10,"User's perception of snakes shifted from fear to admiration, and he now intends to incorporate this newfound interest into guest experiences at his Albi B&B.",3,0,3,5,0,11,shared topic/object tokens: albi; shared entity/name anchor; temporal/update cues overlap with question timing; possible preference polarity reversal,premise_anchor_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
244,2:38:1,"Did Johnson Joseph decide against offering guided hiking tours at Albi B&B on Dec 21, 2033?",Memory Conflict,omission,False,7,"User enjoys cycling to explore the countryside around Albi and stay fit, likes hiking for mental clarity and natural beauty, and avoids golf because it is too slow‑paced and does not keep him moving.",4,3,0,0,4,11,"shared topic/object tokens: albi, hik; shared entity/name anchor; negation/contrast cues: avoids, does not, not; possible event completion vs plan/alternative contrast",slot_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
843,5:51:3,"Did Donna Gonzalez express a dislike for integrating lessons from extreme sports into her music compositions on May 06, 2036?",Memory Conflict,omission,False,17,"User has one child, born May 6, 2015, who shows early interest in music and plays the piano.",4,0,2,5,0,11,"shared topic/object tokens: may, music; shared entity/name anchor; temporal/update cues overlap with question timing; possible preference polarity reversal",premise_anchor_mismatch,P1_memory_conflict_omission_untriggered_suspected,,,,,
