idx,qa_key,question,baseline_label,r3a_triggered,raw_memory_count,suspected_counterevidence_count,has_suspected_counterevidence,top_suspicion_score,top_suspected_reason
2,1:1:3,Did Martin Mark establish a global health initiative with his partner in 2025?,correct,False,19,3,True,8,"shared topic/object tokens: establish, global, health, initiative; possible event completion vs plan/alternative contrast"
3,1:2:1,"Did Martin Mark work as a nurse at Huaxin Consulting on Sep 06, 2025?",correct,False,19,3,True,8,"shared topic/object tokens: 2025, consult, huaxin; shared entity/name anchor; negation/contrast cues: employed; temporal/update cues overlap with question timing"
4,1:2:2,"Is Martin Mark unemployed and struggling financially as of Sep 06, 2025?",correct,False,19,3,True,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
7,1:3:2,"Did Martin Mark mention a preference for reptiles as pets on Sep 07, 2025?",correct,False,19,4,True,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
9,1:5:1,"Did Martin express a preference for Labradors over Golden Retrievers on Jan 06, 2026?",hallucination,False,20,3,True,8,shared topic/object tokens: labrador; shared entity/name anchor; negation/contrast cues: dislikes; temporal/update cues overlap with question timing; weak preference contrast
25,1:10:3,"Did Martin express interest in violent video games on July 14, 2026?",correct,True,20,3,True,8,"shared topic/object tokens: gam, video, violent; negation/contrast cues: avoids, dislikes, opposes; weak preference contrast; selected_by_r3a"
30,1:12:2,"Did Martin's movie preference shift from fictional narratives to documentaries after a relaxing week on Jan 19, 2027?",omission,False,20,3,True,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
39,1:15:3,"Did Martin decide to keep using traditional athletic wear after attending the seminar on Oct 29, 2027?",omission,False,20,2,True,6,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing"
41,1:18:2,"Did Martin express a newfound interest in snakes after his visit to the reptile sanctuary on Feb 01, 2028?",correct,False,20,3,True,6,shared topic/object tokens: snak; negation/contrast cues: dislikes; temporal/update cues overlap with question timing; weak preference contrast
44,1:21:2,"Did Martin's perception of boxing remain purely negative after May 05, 2028?",omission,False,20,3,True,11,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing; possible preference polarity reversal"
45,1:21:3,"Was Martin closed to new experiences and uninterested in sports that challenge him mentally after May 05, 2028?",omission,False,20,6,True,11,"shared entity/name anchor; negation/contrast cues: no, retired; temporal/update cues overlap with question timing; possible preference polarity reversal"
46,1:22:1,"Did Martin retire early from Huaxin Consulting on March 10, 2028?",correct,False,20,6,True,8,"shared topic/object tokens: consult, huaxin; shared entity/name anchor; possible event completion vs plan/alternative contrast"
